sample_id,sample_name,seed,offset_std,m,noise_std,k,tau,nearest_mse,gaussian_mse,nearest_acc,true_in_knn_acc,weights_max_mean,improvement,improvement_ratio
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.001,512,0.0,512,0.001,2610.83935546875,2663.74462890625,0.33984375,0.91796875,0.02438974380493164,-52.9052734375,1.020263703060352
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.002,512,0.0,512,0.001,8515.404296875,8214.12890625,0.234375,0.87890625,0.02430954948067665,301.275390625,0.9646199545997408
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.005,512,0.0,512,0.001,36454.08203125,36091.2421875,0.123046875,0.77734375,0.023981571197509766,362.83984375,0.9900466607981252
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,2,0.01,512,0.0,512,0.001,85001.671875,85563.21875,0.072265625,0.671875,0.023445285856723785,-561.546875,1.006606303883361
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.0,512,0.0,512,0.001,1.7764633893966675,627.755859375,0.759765625,1.0,0.023845145478844643,-625.9793959856033,353.37393560820976
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.001,512,0.0,512,0.001,5946.5498046875,5255.66455078125,0.3203125,0.92578125,0.023807942867279053,690.88525390625,0.8838174611164201
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.002,512,0.0,512,0.001,17891.22265625,16615.728515625,0.23828125,0.857421875,0.023727765306830406,1275.494140625,0.9287083859425657
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.005,512,0.0,512,0.001,68642.8125,65370.1328125,0.12109375,0.748046875,0.023498861119151115,3272.6796875,0.9523230536700401
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0,0.01,512,0.0,512,0.001,170205.546875,165476.015625,0.060546875,0.615234375,0.023125840350985527,4729.53125,0.9722128253935614
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.0,512,0.0,512,0.001,2.5173983573913574,364.66925048828125,0.771484375,1.0,0.02133508399128914,-362.1518521308899,144.85957274802072
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.001,512,0.0,512,0.001,4160.380859375,3900.3623046875,0.353515625,0.939453125,0.021319318562746048,260.0185546875,0.937501261668971
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.002,512,0.0,512,0.001,14134.04296875,13464.462890625,0.248046875,0.900390625,0.02127019874751568,669.580078125,0.9526264297055397
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.005,512,0.0,512,0.001,61366.53515625,58521.40625,0.130859375,0.802734375,0.02100784331560135,2845.12890625,0.9536371265054187
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,1,0.01,512,0.0,512,0.001,135743.0,132005.78125,0.046875,0.671875,0.020608682185411453,3737.21875,0.9724684237861253
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.0,512,0.0,512,0.001,1.1999173164367676,493.09576416015625,0.8046875,1.0,0.031348586082458496,-491.8958468437195,410.94145188639845
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.001,512,0.0,512,0.001,4239.259765625,3944.34765625,0.369140625,0.923828125,0.031301431357860565,294.912109375,0.9304331119865874
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.002,512,0.0,512,0.001,15999.048828125,14648.060546875,0.27734375,0.86328125,0.031190156936645508,1350.98828125,0.9155582125060413
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.005,512,0.0,512,0.001,75896.3125,72626.40625,0.134765625,0.7734375,0.030697204172611237,3269.90625,0.9569161380534792
2,airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,2,0.01,512,0.0,512,0.001,197128.828125,191282.65625,0.060546875,0.638671875,0.029507536441087723,5846.171875,0.9703433945678765
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.0,512,0.0,512,0.001,19.218130111694336,710.6367797851562,0.72265625,1.0,0.02259598858654499,-691.4186496734619,36.97741537053753
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.001,512,0.0,512,0.001,1046.7860107421875,1594.392822265625,0.31640625,0.947265625,0.022571807727217674,-547.6068115234375,1.5231315721683898
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.002,512,0.0,512,0.001,3644.954833984375,4090.44921875,0.203125,0.91796875,0.0225222110748291,-445.494384765625,1.122222196174279
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.005,512,0.0,512,0.001,19869.59375,19868.802734375,0.09765625,0.775390625,0.02237127348780632,0.791015625,0.9999601896427802
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0,0.01,512,0.0,512,0.001,62808.6015625,63307.23828125,0.056640625,0.63671875,0.02198932319879532,-498.63671875,1.0079389877555833
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.0,512,0.0,512,0.001,19.608192443847656,711.8590087890625,0.7109375,1.0,0.02006310597062111,-692.2508163452148,36.30416270278999
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.001,512,0.0,512,0.001,1662.34033203125,2262.341796875,0.283203125,0.9296875,0.020045574754476547,-600.00146484375,1.3609378015334532
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.002,512,0.0,512,0.001,5630.73828125,6224.06103515625,0.1875,0.884765625,0.019999545067548752,-593.32275390625,1.1053721065107887
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.005,512,0.0,512,0.001,26778.0234375,27132.087890625,0.07421875,0.79296875,0.019797686487436295,-354.064453125,1.0132222026749431
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,1,0.01,512,0.0,512,0.001,72929.8359375,75504.390625,0.03515625,0.65625,0.019356872886419296,-2574.5546875,1.0353018028136847
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.0,512,0.0,512,0.001,14.93948745727539,759.9013671875,0.75390625,1.0,0.022111857309937477,-744.9618797302246,50.86529034953171
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.001,512,0.0,512,0.001,1832.58251953125,2297.4990234375,0.3046875,0.923828125,0.02209342271089554,-464.91650390625,1.2536947171280284
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.002,512,0.0,512,0.001,6475.61328125,6556.8671875,0.193359375,0.8828125,0.02204410918056965,-81.25390625,1.0125476773737043
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.005,512,0.0,512,0.001,32911.48828125,31362.3515625,0.07421875,0.75,0.021760543808341026,1549.13671875,0.9529302137444645
3,airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,2,0.01,512,0.0,512,0.001,97514.25,96009.65625,0.0390625,0.623046875,0.021383211016654968,1504.59375,0.9845705243079858
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.0,512,0.0,512,0.001,23.418846130371094,399.04669189453125,0.720703125,1.0,0.018782544881105423,-375.62784576416016,17.03955394185802
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.001,512,0.0,512,0.001,2430.97119140625,2581.510009765625,0.326171875,0.923828125,0.018772399052977562,-150.538818359375,1.0619253814654597
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.002,512,0.0,512,0.001,8430.642578125,8329.09765625,0.220703125,0.888671875,0.01874329149723053,101.544921875,0.9879552571545995
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.005,512,0.0,512,0.001,39251.828125,37690.140625,0.095703125,0.7734375,0.018607046455144882,1561.6875,0.9602136365463869
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0,0.01,512,0.0,512,0.001,132060.84375,129355.65625,0.046875,0.64453125,0.0183301642537117,2705.1875,0.9795155973323849
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,1,0.0,512,0.0,512,0.001,20.873464584350586,592.7091064453125,0.73828125,1.0,0.01892823912203312,-571.8356418609619,28.39533916615275
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,1,0.001,512,0.0,512,0.001,2501.95263671875,2709.01953125,0.310546875,0.927734375,0.01890324056148529,-207.06689453125,1.0827621160737932
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,1,0.002,512,0.0,512,0.001,9664.248046875,9543.462890625,0.216796875,0.884765625,0.018833493813872337,120.78515625,0.9875018567751832
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,1,0.005,512,0.0,512,0.001,53169.3828125,51972.23046875,0.078125,0.779296875,0.018582748249173164,1197.15234375,0.977484178291636
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,1,0.01,512,0.0,512,0.001,138534.84375,138041.71875,0.037109375,0.662109375,0.0183421578258276,493.125,0.9964404262014408
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,2,0.0,512,0.0,512,0.001,21.39844512939453,386.17230224609375,0.732421875,1.0,0.0190750639885664,-364.7738571166992,18.046745915927232
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,2,0.001,512,0.0,512,0.001,2629.1884765625,2713.526123046875,0.314453125,0.931640625,0.019031070172786713,-84.337646484375,1.0320774441376837
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,2,0.002,512,0.0,512,0.001,10816.42578125,10453.666015625,0.2265625,0.896484375,0.018961837515234947,362.759765625,0.9664621407328625
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,2,0.005,512,0.0,512,0.001,68322.515625,66678.140625,0.111328125,0.787109375,0.018654445186257362,1644.375,0.9759321654807701
4,airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,2,0.01,512,0.0,512,0.001,176412.0625,177724.46875,0.05078125,0.625,0.017896009609103203,-1312.40625,1.0074394360079544
