sample_id,sample_name,seed,offset_std,m,noise_std,k,spatial_tau,feature_tau,lambda_feat,nearest_mse,gaussian_mse,feature_mse,nearest_acc,true_in_knn_acc,true_in_feat_knn_acc,gaussian_w_max,feature_w_max,gaussian_ratio,feature_ratio,feature_vs_gaussian_ratio
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.0,512,0.0,512,0.001,0.01,10.0,1.889504075050354,103.58499145507812,0.0003047390200663358,0.736328125,1.0,1.0,0.01617606356739998,0.7020964026451111,54.82125856347658,0.00016127989565633232,2.9419225293704105e-06
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.001,512,0.0,512,0.001,0.01,10.0,399.2098388671875,402.5146484375,70.7221908569336,0.30859375,0.90625,0.90625,0.016157448291778564,0.6491052508354187,1.0082783770552608,0.1771554304814167,0.1757009120822466
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.002,512,0.0,512,0.001,0.01,10.0,1324.094970703125,1186.3726806640625,370.8939208984375,0.220703125,0.841796875,0.841796875,0.01611904427409172,0.6288153529167175,0.8959876042985582,0.2801112677752142,0.31262850784024515
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.005,512,0.0,512,0.001,0.01,10.0,6568.974609375,6079.79296875,3005.7939453125,0.09375,0.724609375,0.724609375,0.016016284003853798,0.5959765911102295,0.925531506861534,0.45757429797684723,0.4943908387608285
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0,0.01,512,0.0,512,0.001,0.01,10.0,20902.46875,20053.982421875,12591.203125,0.05078125,0.599609375,0.599609375,0.01575649157166481,0.5746557116508484,0.9594073629161627,0.6023787560978892,0.6278654713123436
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.0,512,0.0,512,0.001,0.01,10.0,1.4169872999191284,94.37184143066406,0.0002845478302333504,0.7578125,1.0,1.0,0.02274387702345848,0.6801837086677551,66.6003438676198,0.00020081184231474084,3.0151772596533527e-06
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.001,512,0.0,512,0.001,0.01,10.0,239.86300659179688,296.8413391113281,24.333009719848633,0.302734375,0.927734375,0.927734375,0.02270391769707203,0.6258129477500916,1.2375453110887498,0.10144544615526721,0.08197311665786118
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.002,512,0.0,512,0.001,0.01,10.0,863.84912109375,853.257080078125,230.34848022460938,0.208984375,0.876953125,0.876953125,0.02262074686586857,0.6123338937759399,0.9877385520723642,0.2666536025792988,0.2699637490303842
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.005,512,0.0,512,0.001,0.01,10.0,4345.8349609375,4070.1005859375,1896.3792724609375,0.0859375,0.7578125,0.7578125,0.02227409929037094,0.5878857374191284,0.9365520371853887,0.43636707088661353,0.46592933821170635
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,1,0.01,512,0.0,512,0.001,0.01,10.0,15483.08984375,14798.134765625,9852.923828125,0.037109375,0.626953125,0.626953125,0.021395985037088394,0.5694030523300171,0.9557610861244539,0.6363667670702235,0.6658220096097943
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.0,512,0.0,512,0.001,0.01,10.0,1.6767557859420776,87.67411804199219,0.0006702981772832572,0.751953125,1.0,1.0,0.028566276654601097,0.6867812871932983,52.287947223472905,0.0003997589767711183,7.645336984880906e-06
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.001,512,0.0,512,0.001,0.01,10.0,379.6304931640625,379.17437744140625,72.2784423828125,0.34375,0.927734375,0.927734375,0.028516896069049835,0.6394654512405396,0.9987985271708426,0.19039156149023145,0.19062058694612527
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.002,512,0.0,512,0.001,0.01,10.0,1287.5618896484375,1185.693359375,456.215576171875,0.24609375,0.89453125,0.89453125,0.02840398997068405,0.6225051879882812,0.9208826145815389,0.3543251628055273,0.3847669151258082
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.005,512,0.0,512,0.001,0.01,10.0,5438.4560546875,5042.44970703125,2548.03759765625,0.115234375,0.765625,0.765625,0.02790570631623268,0.5910775661468506,0.9271840493562644,0.46852223720003255,0.5053174043765348
0,airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,2,0.01,512,0.0,512,0.001,0.01,10.0,14881.21875,14294.6357421875,8931.61328125,0.052734375,0.66015625,0.66015625,0.026707258075475693,0.5747930407524109,0.9605823274513386,0.6001936690333243,0.624822726674335
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.0,512,0.0,512,0.001,0.01,10.0,6.888409614562988,245.52383422851562,0.0011670002713799477,0.755859375,1.0,1.0,0.02078315056860447,0.6568616032600403,35.64303634171907,0.0001694150517577756,4.753103807811136e-06
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.001,512,0.0,512,0.001,0.01,10.0,2778.41650390625,2714.572265625,714.5169677734375,0.31640625,0.919921875,0.919921875,0.020755430683493614,0.6120209693908691,0.9770213579600144,0.25716697506255054,0.263215305343484
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.002,512,0.0,512,0.001,0.01,10.0,9069.203125,8819.859375,4345.4189453125,0.2109375,0.873046875,0.873046875,0.02069806307554245,0.5886625051498413,0.972506542574544,0.47914010585274,0.4926857402771799
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.005,512,0.0,512,0.001,0.01,10.0,44196.359375,43509.796875,32227.755859375,0.099609375,0.74609375,0.74609375,0.020429138094186783,0.5576462149620056,0.9844656322441717,0.7291948095979343,0.7407011334013496
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0,0.01,512,0.0,512,0.001,0.01,10.0,78452.171875,78429.046875,60339.75,0.056640625,0.619140625,0.619140625,0.020015807822346687,0.5418632626533508,0.9997052344192988,0.7691278464048259,0.769354625667826
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,1,0.0,512,0.0,512,0.001,0.01,10.0,5.517627716064453,188.10089111328125,0.0004920529900118709,0.791015625,1.0,1.0,0.025379570201039314,0.6696679592132568,34.090899348941136,8.9178359855499e-05,2.6158993032921814e-06
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,1,0.001,512,0.0,512,0.001,0.01,10.0,2314.92236328125,2322.580078125,481.9677734375,0.345703125,0.931640625,0.931640625,0.025370322167873383,0.6203374862670898,1.003307979120689,0.20820040493899866,0.20751395311484316
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,1,0.002,512,0.0,512,0.001,0.01,10.0,8414.2255859375,8270.041015625,3385.962646484375,0.236328125,0.869140625,0.869140625,0.025330763310194016,0.6000047326087952,0.9828641900743103,0.40240930218738796,0.4094251334530394
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,1,0.005,512,0.0,512,0.001,0.01,10.0,37141.6484375,35789.9140625,23352.60546875,0.111328125,0.775390625,0.775390625,0.025192957371473312,0.5794869661331177,0.9636059671052396,0.6287444540337656,0.6524912417495414
1,airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,1,0.01,512,0.0,512,0.001,0.01,10.0,82299.4296875,83235.8125,61955.09765625,0.05859375,0.642578125,0.642578125,0.024912076070904732,0.5500228404998779,1.011377755788291,0.752801056963582,0.7443322266632527
